text,label,reasoning
"""My suggestion would be to start with buildable, easy-to-blend products like cream blushes/bronzers, tinted lip balms, and maybe a pencil or two. Try to find out your undertone and what colours work on your skin because that will help a lot!""",advice,
"""Okay I'm not an expert at all but I feel like there's way too much layering with the sprays, here. I know you said your skin is oily, so I'd instead opt for an oily skin moisturizer that you use regularly; instead of a facial mist before applying any makeup. I find that spray before my makeup doesn't really work. As well, at most I'd use my setting spray twice through my routine. Once after I powder my whole face (for example, after my cream products I always powder my whole face, use setting spray, and then do powder blush, powder bronzer‚Ä¶.) Going onto finish my entire routine with another round of setting spray later on.""",advice,
"""That trial already looks really good on you. The tones suit your coloring, and the overall vibe feels soft and polished. For your eyes, I would add a touch more depth in the outer corner using the deepest shade in the palette. Use a slightly warmer shimmer on the center of the lid with a gold/peach rather than champagne. Tightline with brown or bronze liner instead of black for a softer but defined look.""",advice,
"""Try applying blush slightly higher on the cheeks if you want a lifted look.""",advice,
"""Try wetting your eyelashes before applying the mascara. That's my secret weapon move.""",advice,
"""Use a tubing mascara if you struggle with smudging. """,advice,
"""Use less concealer than you think you need. It made a noticeable difference for me.""",advice,
"""You're very pretty and have beautiful eyes. I suggest adding mascara and occasional lashes to make your eyes pop more. Also, clean up your brows more, or fill them in lightly. Also, add some pink blush...""",advice,
"""Your makeup looks lovely. I am much older, but I do have great skin. I get unintentionally glowy from my daytime serums: Good genes, vit c. plus 2-3 more serums before sunscreen. Then I mix my tinted spf (changes) with either an illuminating one or a small amount of highlighter. You do not have to use what I use, but some vit. C, some lactic acid, some hydration, all good! I rotate serums all""",advice,
"""Prep ur skin. U also need to exfoliate few times a week to get rid of all the textures""",advice,
"""Are you using all of those moisturizers/sunscreens/serums at once? it might just be caused by too many products. i would just do one serum, one moisturizer, and one primer but make sure that they're all spaced out by about 10/15 minutes to be fully absorbed by the skin""",advice,
"""For hydration and value longterm go for Clarins, you will be paying for skincare. For extra shine and budget then go for fenty . Are you looking to fix your dry lips or just shine and colour?""",advice,
"""Do you have a good exfoliating routine? My skin is like this and if I don't get that dry skin off all of my makeup clings to it and looks terrible. I really like the peeling exfoliators like elf holy hydration gentle peeling exfoliant. My skin can absorb my moisturizer and other products so much better after I use it and my makeup goes on so smooth.""",advice,
"""There is no need to purchase your next makeup product while still not yet finishing your current one. Makeup takes a surprisingly long time to expire or run out. By the time you need a replacement, you will likely have lost interest in the backup you stored away, especially as newer, more innovative products hit the market.""",advice,
"""Always do brows, mascara, and lips to frame your face. Even if I don't have other makeup on this makes me feel and look put together.""",advice,
"""Eyebrows need to be thinned and not brushed straight up, they take away from the look.""",advice,
"""Have you tried looking at Douyin makeup? They have very nice tutorials on achieving this kind of look""",advice,
"""My beauty hack that keeps my base last longer is setting my entire base makeup with a damp beauty blender using loose setting powder, you have to be kinda gentle and it takes a little bit longer but it helps keep my base on every single time!!!""",advice,
"""if you're looking to elevate your makeup rather than completely change your appearance, I'd focus on enhancing what is already there. A few things I'd experiment with: slightly more defined brows, a touch more blush or warmth in the cheeks""",advice,
"""Let your skincare fully absorb before applying foundation. that's how i do mine""",advice,"The post prescribes an action to improve makeup application, using personal experience as supporting evidence. The primary intent is prescriptive guidance."
"""There are a lot of K beauty products aimed at creating this kind of look - they're usually potted and kind of like a bouncy mousse in texture. Applying them with a finger creates this look pretty easily. Look into products like the Blurry Pudding Pots from the brand Fwee."" ",advice,The post is recommending products and techniques to help someone achieve a specific look. The author is guiding the reader toward a solution.
"""There is an Australian makeup artist called Rae Morris and she has a technique for creating a harmonious eye shape based on the golden ratio called Eye Phi. Learn this and you will never look better. I hesitated to even post this because I'd rather gatekeep it.""",advice,
"""This comes from the rule of thumb in chemistry ""like dissolves like,"" which means that similar compounds will mix readily with similar compounds. One example is that oil and water don't mix. However it seems that this is a simplification in skincare due to the presence of emulsifiers making many products have both water and oil and also it shouldn't be a problem if you let each layer set before applying the next one.""",advice,The post is educating and providing practical guidance to help the reader understand a concept and apply better practices. The author is positioned as an expert/helper.
"""It's the red lip. Do a nude or cool-toned beige instead.""",advice,The post is diagnosing a problem and prescribing a solution to improve the look. The author is positioned as a helper giving guidance.
"""Letting all products dry down first. Especially the SPF it needs a few minutes""",advice,
"""Quality moisturizer every night. Quality moisturizer every morning. Sunscreen.""",advice,
"""Set cream products lightly with powder to improve longevity.""",advice,
"""Your photo shows that your skin is dehydrated on the surface but oily underneath, which is the exact combo that causes creasing, patchiness, and that makeup sitting on top of skin look. When the top layer of skin is dry or flaky, makeup and setting sprays cling to it. When the deeper layers are oily, makeup breaks apart and slides. A matte, alcohol-heavy spray like the L'Or√©al one intensifies both problems.""",advice,The post is diagnosing a problem and providing educational guidance to help someone understand their issue and avoid a bad solution. The author is positioned as a helper/educator.
"""Best tip I've ever gotten was when working with dark colors, do your eyes first. Especially if you are doing something like smokey eye that has dark powder. If you do the dark afterwards it often gets where you don't want it and messes up what you've already done.""",advice,
"""the bobbi brown pot rouge in calypso coral looks really fresh on you. since your brief was to show color without covering freckles, maybe a bit more blush layering so it still reads in photos with flash""",advice,"The post starts with a compliment, but its primary purpose is prescriptive, telling the author how to improve their look."
"""A peach corrector under concealer can help with dark circles.""",advice,
"""Your skin actually looks really pretty, it just looks like your base and prep aren't vibing together. I'd try: super light gel or hydrating moisturizer, let it fully sink in, then a smoothing primer only where you're textured, and switch to a thinner foundation or skin tint applied with a damp sponge. For powder, skip baking and just lightly set your T zone with a puff, press then sweep off extra, and maybe try a finely milled loose powder like Laura Mercier or Huda Easy Bake instead of packing it on. Also oily and dry at the same time is super common, so focusing on hydration at night (like a gentle exfoliant 1 to 2 times a week and a light moisturizer) can help your texture more than any technique tbh.""",advice,
"""Hey everyone! Every few weeks someone asks which sunscreens work best under makeup and how to avoid issues like pilling, separation, or patchiness. I've tested a lot of sunscreens since I started wearing base makeup regularly about a year ago, and these are my top recommendations: Mixsoon Centella Sun Cream and Purito Seoul Daily Soft Touch Sunscreen (orange bottle)""",advice,"The post is prescribing products to solve a specific problem, positioned as helpful recommendations to the community. this is not centering the personal discovery story so it's not showcase. This is also not just evaluating but actively recommending to help others so it's not opinion"
"""If no bottom lash mascara maybe try a smudged Smokey subtle under eye look instead. Just to soften that stark look - unless that's what U are going for. In which case U definitely Got the Look. Very Pretty!""",advice,
"""Dont go for minimalist products they are useless . I tried their tranexamic acid serum and also religiously used sunscreen and i was still tanned . After stopping it . Used moisturizer and sunscreen then only improved""",advice,This post explicitly telling others what NOT to do
"""Nope I am sorry but it's noticeable in all of the pictures apart from the one where you are directly under the light and that's what I suggested trying to make the skin look more even and slightly slimmer tip by low lighting the sides and highlighting the centre and tip""",advice,
"""UR SO CUTE!!! also it depends on the vibe U Wanna give off . I would think it makes it look more whimsical""",opinion,
"""Eyelash primer before mascara - makes my sparse eyelashes look normal - love the blue one by Morphe because it's easy to see""",opinion,Expressing personal evaluation or preference.
"""It fascinates me that out of all facial features, eyebrows are the one that become ""trends"" even going back to our earliest fashion histories, across time and place. Probably because it's the easiest feature on the face to change the shape of.""",opinion,
"""Liquid blush tends to last longer for me than cream blush as long as the liquid blush sets down completely. They're very pigmented, but last longer.""",opinion,Expressing judgment or reaction about makeup.
"""""Water based, silicone based, oil based products are not compatible with each other""--- this is driving me insane""",opinion,
"""Charlotte Tillbury is my go-to""",opinion,Expressing judgment or reaction about makeup.
"""Dermaplane. Makes your skin so smooth and your makeup really melt into your skin.""",opinion,
"""Due to SPF filters restriction in USA, sunscreens are usually much better in Australia.""",opinion,
"""Eminence has good eye products.""",opinion,
"""there are drugstore products in my kit. I've got $15 foundations lasting 16 hours with the right prep. I'd rather have products that I know work than fill my kit with high-end products I haven't properly tested.""",opinion,
"""fenty beauty lasts longer but clarins feels more nourishing""",opinion,
"""for me it was a face serum. i started using the abo face serum from circcell a few months back and my skin texture just... improved a lot. like my foundation stopped sitting weird on my face and started actually blending smooth. didn't expect skincare to make that big of a difference for makeup but here we are lol""",opinion,Expressing judgment or reaction about makeup.
"""For skincare, I like the Eadem facial mist. Khiels makes great moisturizers and body lotions. Sol de Janeiro just smells great and has a variety of scents while not being over the moon pricey.""",opinion,
"""girl ur face is STUNNINGGG""",opinion,
"""Gorgeous! You have such a bright and friendly face""",opinion,
"""Holy shit I have you exact skin type basically and the Skindinavia setting sprays are all great imo. Not a fan of new Urban Decay.""",opinion,
"""I just get NYX stuff. Its always good quality for the price point. Sometimes their stuff goes viral and then I cant find my products anywhere ‚òπÔ∏è their lip stuff is excellent""",opinion,
"""I prefer satin finishes over ultra-matte finishes.""",opinion,
"""I think drugstore makeup has gotten much better over the last few years. I'd repurchase it without hesitation.""",opinion,
"""I think it's where the contour is applied. It makes her jaw/chine look more square and pronounced than it actually is.""",opinion,
"""I think maybe lashes or mascara to like umph the look. Also lip liner and boom you're looking gorgeous!! Most of it tho is confidence I can feel like you not into it so I'm not either""",opinion,
"""Innisfree has been my ride or die""",opinion,
"""Lip oil in general is a waste of money .""",opinion,
"""Liquid blush lasts longer on me than cream blush.""",opinion,
"""My daughter turned me on to aquaphor lip balm for under eye primer. Im in my 50s and makeup tends to sit in cracks and this stuff prevents that.""",opinion,
"""My favorite is Paula's Choice Resist Youth-Extending Daily Hydrating Fluid SPF.""",opinion,
"""That eye look is absolutely gorgeous.""",opinion,
"""That lipstick shade suits you perfectly.""",opinion,
"""the combo with the blue eyeliner just isn't it""",opinion,
"""The Fwee Blurry Pudding Pot gives the best blurred lip effect.""",opinion,"The post is making an evaluative claim about a product's performance/quality, sharing a judgment about it."
"""The heavy eye combined with a bolder lip is aging, and it's warm-toned makeup on cool toned person. I see quite a lot of orange tones, I think a look with more neutral browns, neutral pink lip, mauve blush, with a wispy half lash would be more flattering.""",opinion,
"""The packaging is beautiful but the formula is average.""",opinion,
"""This doesn't work with Eyebags :( looks lovely on you though""",opinion,
"""This foundation is worth the hype in my opinion.""",opinion,
"""This mascara is overrated and flakes everywhere.""",opinion,
"""Those are the most flattering lashes I've ever seen in my entire life. I've seen a lot of lashes.""",opinion,
"""Too many layers!""",opinion,
"""You look great. A lot of times with pictures it's lighting and angles. For example if I have my overhead bathroom light on and angle my camera right my skin looks super dewy. I cut on the light around my mirror and my skin looks flat and dry ü§∑‚Äç‚ôÄÔ∏è""",opinion,
"""Your eyes are popping with just the upper mascara/lashes. The bottom may be a bit much... but give it a go if you want, makeup should be fun... and experimental if you want :) I'm biased, fyi, I never do bottom mascara. I think it gives a doe-eyed look. But have fun with it!""",opinion,
"""Am I the only one who feels makeup looked so much prettier in the 2000s? No hate though!""",opinion,
"""I never do bottom mascara because of panda eyes, but also I think it helps visually lift your eyes up, and with it the other features of the face. I think your makeup is pretty the way it is! If you really wanted to experiment tho, maybe edge a small amount of mascara to the bottom outer corners of your lashes?""",opinion,
"""I still watch Friday Night Beauty on QVC to see what they have for sale. I too, was introduced by them to IT Cosmetics, Tatcha, Josie Maran, and many other brands before they blew up. They also have Peter Thomas Roth on regularly, Anastasia, and others. Don't sleep on QVC...it's not just for geriatrics...lol.""",opinion,Expressing judgment or reaction about makeup.
"""I think I heard Marc Jacobs wasn't global yet? That could be fun. The packaging is cute, and what I've tried, I like so far. Glossier's Sun Shield also isn't bad, though I agree with the other person, y'all probably have better sunscreens. I generally buy K-beauty ones. Glossier makeup has gotten ehhhh though, and I used to be a big fan. Still like their basics, but they're nothing to write home about.""",opinion,"Evaluating, comparing, or expressing judgment about products or techniques."
"""I've been so let down by nearly all of my influencer led makeup purchases. It's also really hard to tell how the products actually look because of all the filters.""",opinion,
"""it's adorable and you re absolutely gorgeous! i matches what you've asked for entirely. if you want to have a little bit more fun, you can brighten your inner corner highlight slightly to make your eyes pop even more! congratulations ü©∑ü©∑""",opinion,
"""Many products aren't made to be good. They're made to be intriguing, sell a lot, then introduce the next weird thing so people forget how bad the previous product was. They're made for quick money and to capitalize on the short attention span so many people have created for themselves/been a victim to because of the rise of short form content. Selling has changed drastically because the market has changed.""",opinion,
"""i love straight eyebrows but i can always tell when theyre forced. i get that its a trend but what happened to adjusting eyebrows to match our own facial features? dont get me wrong, i love when people do what they want to do but i just know that they are gonna end up regretting it (like with the thin or tadpole eyebrows). it just makes everyone look the same, yet people are so obsessed with ""timeless beauty"" idk i just dont want to be a hater""",opinion,
"""I have always had dark circles its sorta genetic and also gets affected due to sleep and diet and then I just decided to try to manage them and henceforth I did what I had to and I have mentioned my review on the purchases I had made. 1)The Ordinary Caffeine Solution 5% + EGCG Eye Serum: This one kind of works ‚Äî I'll give it that. The depuffing is real, but it's very temporary (think: lasts about an hour before everything goes back to normal). Used it consistently for 15 days and saw no lasting visible results, so it's more of a quick-fix situation than an actual treatment:); 2)Minimalist Vitamin K + Retinal 0.1% Under Eye Cream: On paper this sounds great ‚Äî retinal for renewal, Vitamin K for dark circles. But honestly? It just didn't deliver:((( Zero visible results after 15 days of consistent use. Big no from me; 3)Aminu Under Eye Serum: This one's a win! It's actually doing something ‚Äî I can see real changes and there's definite brightening happening it's slow but it's something. One of the few that's genuinely working for me.""",opinion,"The post's primary purpose is to share verdicts on multiple products, not to tell a personal discovery story."
"""I absolutely love the wet and wild tinted hydrator! It goes on so smooth""",opinion,"The post is expressing a judgment about the product, It's NOT telling a personal discovery story."
"""This foundation is amazing. You should definitely try it.""",opinion,"This post focuses on what they think (""amazing"") + a recommendation to reinforce that judgment. It doesn't center on a personal discovery or experience story."
"""I would love to achieve this look but my too lip is on the thinner side so I'm not sure if I could pull it off""",opinion,
"""These contact lenses I use I've pretty sensitive eyes in these have never irritated in my eyes. It really depends on the person. I love them. They're so high-quality. They're very comfortable to wear. I'm not you. I have have bought so much from this company and I have so many of these that I do not know which specific color I'm wearing,""",opinion,"The post's primary purpose is expressing positive judgments about a product. The author is sharing verdicts, not a personal discovery story."
"""wet n wild breakup proof skinny liquid liner pen. HG 10/10""",opinion,"The post expresses a strong positive judgment through rating and holy grail status, not a personal discovery story. No personal narrative."
"""NYX foundation is what lasted so well! Great shade range, customisable coverage, lightweight, natural matte finish""",opinion,"The post makes evaluative claims about a product's qualities and performance. It's a product assessment, not a personal discovery story."
"""Can I ask you a question about specific products I am using? I bought the e.l.f matte power grip primer and I currently use the Covergirl skin tint (the no sunscreen version). The primer is water based and the skin tint is silicone based. Do you have an application suggestions?""",request,
"""Can you use tubing mascara over a primer?""",request,
"""do you use the black tube with the gold stars on it? that's what i use and i'm afraid it might be discontinued...i saw it at marshalls and it was on the milani site for 50% off and i can no longer find it in stores""",request,
"""I am genuinely curious where you make your money as an MUA if you don't do weddings? It's a recession now and people have less money to spend doing makeup just because, and companies are scaling back spending on ad campaigns etc.... I was interested in going to school to become an MUA but every MUA in my life told me that I won't survive financially if I don't do weddings.....As I know it, my MUA friends who do weddings even are struggling to get bookings now.....""",request,
"""i think it looks really nice! what highlighter are you using? also do you use an illuminating gel? i think Sabrina uses a good amount of product, not very light handed in the application if that makes sense.""",request,
"""if you use primer what primer did you use? and what concealer/foundation did you use?""",request,
"""was scrolling on instagram and saw this beautiful pallet and i need it asap!!! i love the holographic, iridescent look! if anyone could ID it, i would be sooo grateful ü©∑ thank you, you beautiful makeup queens""",request,
"""Can someone identify the blush used in this look? I've tried a few fixes already but nothing seems to work.""",request,
"""do i need powder blushes/bronzers to top off my makeup?""",request,
"""Does anyone know of where I could buy the original formulation of Estee Lauder Double Wear foundation? I'm almost out and do NOT want to purchase the reformulation because my skin hates niacinamide (why is it in EVERYTHING?!?)""",request,
"""I'm trying to find something that doesn't transfer, because I only like to tight like my top waterline and it always transfers down to the bottom and I hate how it looks. Does anyone have any recommendations?""",request,
"""I've been using the NYX epic liner for ages, but the pen is too thick for my hooded eyes. Most of the thin eyeliners out there are from asian brands but i find that they always dry out so quick. any recs?""",request,The post ends with an explicit ask for recommendations. The personal experience is context for a problem the author is trying to solve.
"""I've tried foundations from almost every brand at Sephora, but most shades labeled warm with golden or yellow undertones end up looking dull on me. They seem to mute the natural golden tone in my skin that gives it brightness and I think its because they just aren't yellow/golden enough. Does anyone who wears Fenty 330 have foundation shade recommendations in other brands? I'd love to hear from any shade twins who have found shades in other brands.""",request,"The post culminates in explicit questions seeking information and recommendations from the community. The personal experience is context for the request, not the primary focus."
"""Setting spray, pleaseeee""",request,"author is seeking/asking, not prescribing"
"""Simple affordable/cheap warm toned matte eyeshadow palettes?""",request,
"""Tryna do club makeup but I feel like it just doesn't fit right??? Is it the eyebrows??? Am I missing something??? I'm going to be working as a $tripper and want like a kinda rock-girlfriend-glam look going. Maybe just lipgloss is better for me, as I have a double lip line and I feel like lipstick literally just never suits me""",request,
"""Why does my mascara clump so bad on one eye but doesn't clump at all on the other??""",request,
"""Why does one eyebrow always come out better than the other? I've tried a few fixes already but nothing seems to work.""",request,
"""I usually stay away from using bottom mascara bc I am just not good at it tbh I feel like it gives me panda eyes too but do you guys think my under eye is too empty? When I do my makeup I like to make my main focus my eyes and my lips maybe I should add glitter or something rather than bottom mascara, What do you guys think I should do or should I just leave it how I am doing it currently.""",request,
"""My makeup ALWAYS breaks up on my face and looks horrible. I have switched foundation. I have tried THOUSANDS of dollars worth of products for both skin prep and makeup. I get facials, I moisturize daily, I don't exfoliate too much because my face is wildly sensitive and will break out. What am I doing wrong?!""",request,
"""Why has this become such a big thing in mainstream makeup culture? As someone who is just entering the makeup world, I have been left utterly confused and questioning all of my makeup purchases. Can we settle the debate? Are some products not compatible with other products because of their base (water vs silicone)? Or is this a myth? People have such strong, and vastly different opinions on this topic.""",request,
"""Can anyone recommend a good MLBB lipstick for medium olive skin?""",request,
"""Curious how gel formula differs from cream formula in this scenario! Is it just the molecular penetration? Or whatever it's called""",request,
"""does anyone have recommendations for this vampy lip its so beautiful i saw chanel brought their old vampy lip but its too expensive plus revlon is out of stock!!!!!!!! all red lips i have are bright i want that darkkkkk red üò©""",request,
"""How are people getting such smooth under-eyes? I've tried a few fixes already but nothing seems to work.""",request,
"""How do you stop mascara from transferring to the upper lid? I've tried a few fixes already but nothing seems to work.""",request,
"""How to do smudged lipstick?""",request,
"""I desperately need help for my lips, Carmex triggered eczema on my lips 3 years ago and since then I have contact dermatitis from almost every product, I can't even stand aquaphor nor Vaseline. It's truly a struggle for me to find lip blams/lip tint or gloss (im currently using the aderma lip balm and it's the least triggering thing I have at the moment). So if anyone can help me please I will be so grateful üôèüèª""",request,
"""is Careline lip lock lacquer okay? I'm looking for an alternative for Maybelline vinyl ink since i learned that they're not cruelty-free üò≠ and i've stumbled upon careline's new lippie. I need reviews and thoughts sa mga nakagamit na (i don't rlly trust reviews on tiktok)""",request,
"""Love this!!!Will you tell me what the shade matches are for Doublewear 3N1?""",request,
"""my undereye for some reason is always creasing and no product stay on and also when i put powder it stays on my undereye except for my whole face which turns oily .. so honestly how do I fix my undereye creasing?""",request,
"""What are your skin care and primer recommendations for a 45 year old with normal to dry skin?""",request,
"""What's your HG setting spray for oily skin? I've tried a few fixes already but nothing seems to work.""",request,
"""How are people getting that super dewy and glowy look? My makeup always looks dead (first pic is my attempt)""",request,
"""Every time I use blush this little patchy spot happens. Anyone know what it could mean? Photo of products used. Skin prep - la roche post acne cleanser, laniege water bank toner, codex hydrlonic acid cream""",request,
"""Do you have products that are OK but you know there is something out there that could be better? I have one that I cannot seem to let go (toss) because they are ""OK""--- but not amazing. I would appreciate suggestions for substitutes/dupes that have a bit more pigment or oomph. Guerlain Terracotta in Medium Cool (02). I love the idea of a bronzing powder that gives an all-around dusting of color without being too noticeable. And although I have loved Terracotta in the past, this version doesn't give me enough pigment or glow. I am a medium cool and have also used PF Murumuru Butter Bronzer in Light but again, not really getting the fresh sunkissed look I am going for.""",request,
"""No matter how much I try to achieve it, it just doesn't look like this. I apply my concealer on my hand and use a damp sponge to pat it multiple times then finally pat the sponge on my eyebags to achieve a smooth base, then I use loose powder to make sure my base remains for as long as possible. Then I curl my eyelashes and apply mascara. I also apply a tinge of blush on my cheekbones and nose. For the glam part, I do liquid highlighter on my eyelids but it never looks like the pic. For my lip combo I do a brown lipliner and I blend it then use my lip oil. The products I use are elf concealer, essence banana loose powder, loreal telescopic mascara , drug store blush, sheglam liquid highlighter, drugstore lipliner and an elf lip oil.""",request,"if the post framed the routine as worth sharing (success), it would be showcase, but if it frames the routine as CONTEXT FOR A PROBLEM, it's request — the author is implicitly seeking help understanding why the routine doesn't work (The personal content is there, but the primary intent is troubleshooting help, not routine showcase)"
"""PLEASE HELP! PLEASE COMMENT! Hi! I’m very passionate about makeup but I know there is always room for improvement - please let me know your thoughts on my current makeup + what I could change to be better :) my eyes are downturned and I HATE it so I do eyeliner to try and make them less downturned but I don’t know if it’s working; my eyebrows are massive but I’m too scared to thin them out :(""",request,
"""I use to put on glitter eyeshadow but was told that the no eyeshadow looks better… I need tips and help. Any advice given I would so appreciate!""",request,
"""What’s one makeup tip, product, or technique that made the biggest difference in your appearance? Something you wish you’d known years earlier.""",request,
"""Women who wear makeup, What is the biggest makeup tip you can give?""",request,
"""what are the basic products i actually need as a beginner? are there any beginner-friendly brands or products you'd recommend? and what order do you even put everything on? """,request,
"""idk i feel like something is missing or feels off .. im kinda new to makeup so tell me any tips or tricks !! anyway i need 200 characters in order to post so im js typing random shit to meet the criteria""",request,
"""I’m looking to spice up my makeup. For the past year I have religiously worn clean girl makeup and clothes. I am slowly finding new styles and looking for other makeup ideas. Let me know what you think and if I should spice things up:)""",request,
"""does anyone know when the makeup sales for sephora begins?""",request,
"""This was my birthday makeup, I just very very recently got into doing my whole face instead of just concealer and brows, any tips??? Idk if you can tell but I also need eyeshadow tips. This was also my first time baking and using setting powder 😭😭 pls help me tia""",request,
"""Why do I feel prettier with lighter makeup? Does heavy makeup not suit me? Am I doing something wrong?""",request,
"""okay, so i’ve been doing my makeup basically the same since high school with small tweaks here and there, but i’ve always used the same foundation which is l’oréal infallible pro-glow. from my understanding it’s silicone based, and i do use a silicone based primer (benefit porefessional) as well as setting spray. my makeup always starts off super smooth and pretty, but throughout the day it wears off and becomes blotchy and just doesn’t look right (like on my nose in the second pic). how do i avoid this? is it my foundation? if so, does anyone have any foundation recommendations that don’t do this?""",request,
"""I feel like lately my usual makeup makes me look older and/or tired. So here's the question: what are some common makeup mistakes that make us look older or tired? And on the contrary: what are your must-do in order to achieve a fresh and relaxed look?""",request,
"""Hi, I recently fell for the hype around the new L'Or√©al spray, and oh my, I have never been so disappointed. It caused my makeup to crease, flake off and emphasised my texture so much. I looked on TikTok, and many people suggested using it after a powder-melting spray, so I used the Urban Decay setting spray first, then applied a light layer before it dried down. Still, it gave the same look. It doesn't matter what products I mix or how much I apply. It just doesn't work, and I really need something that will help my makeup stay put. I have very oily skin, and it creases a lot. Product list in sequence: Byoma face balancing mist; Huda Beauty colour corrector pink pomelo; Kylie cosmetic concealer 4.5N; Lor√©al Infallible Setting Spray""",request,"Opens with disappointment (problem); Describes attempted solutions that failed; Explicitly asks for help: ""I really need something..."""
"""I loveee a dewy look so I use the Bio-Radiant Glassy Balm Highlighter Stick by Haus Labs & the Pixi On-The-Glow Blush stick! & I only use setting powder in my t-zone""",showcase,"The author is sharing their personal makeup routine and product discoveries (""I love dewy looks, so I use these products""), centering their own experience rather than evaluating products or prescribing solutions to others."
"""this is such a great daily use palette. i use it everyday, even more than Mario's neutral palette""",showcase,
"""Try the Fwee Blurry Pudding Pot for this look.""",showcase,
"""Tried a soft glam look for brunch today and I'm actually happy with how the blend turned out.""",showcase,
"""This is the best product I've found for the blurred look. Bonus is that it lasts forever. Apply over concealer, pat with fingers until desired effect and I'm good""",showcase,the main point is to introduce a good product. The following advice of how to apply it is the secondary point
"""I forgot to mention a magical haircare addition: bamboo towels (the type marketed for babies as burp cloths and stuff 1.2m x 1.2m) - I use them as my hair towel after showering. They are mega light, soft and gentle, so don't tug at my hairline as normal turban towels do as I move about. Their absorption is ridiculous!! Super quick!""",showcase,
"""I recently tried Charlotte Tilbury and I'm shocked at how well it works""",showcase,The post tells a personal DISCOVERY STORY
"""Testing a full face of drugstore products. Here's the result.""",showcase,
"""There was this bar soap (not like soap soap, it was for the face? Just follow along lol) that was like a rectangular log and orangish in color- my aunt was able to slice it at the end and give me a nice sized piece. It worked nicely for my skin. It was by Signature Club A üòÜ I also enjoy Avon Bubble bath and some of their perfumes""",showcase,"The post is sharing personal product discoveries and memories, centering the author's own experiences, not making judgment claims."
"""Here's today's makeup look. Any suggestions for improvement?""",showcase,The author's trying to show their personal look. The following question is just to extend the discussion
"""Skin 1004 HyaluCica plays nice with all of my makeup""",showcase,"The post is has a personal narrative, making a personal evaluative about the product's compatibility and performance"
"""Softer look on the eyes today to balance out a bolder lip!""",showcase,
"""i recently switched to a gel moisturiser. i just added this fixing spray bcs sometimes my makeup would transfer on my bfs shirts""",showcase,"The post is sharing what the author personally did to solve their problem, centering their own experience and discovery."
"""Went for an all-matte look today instead of my usual dewy base.""",showcase,
"""First eyeshadow palette purchase in 10 year - Makeup by Mario Ethereal Eyes from Sephora""",showcase,
"""matched my makeup with my hair""",showcase,
